company,job_description,company_rating,location,salary_avg_estimate,educational_level,years_of_experience,skills_req,job_title
ABB,Junior Data Analyst,4.0,Bengaluru,1320000,Bachelors,9.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Philips,Data Scientist - AI/ML,4.0,Bengaluru,660000,Bachelors,2.5,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
Facctum Solutions,Data Analyst,4.1,Karnataka,360000,Diploma,1.0,"Data Visualization, Excel, R, SQL, Big Data Tools",Data Analyst
Sanfoundry,Data Scientist - Fresher,4.1,Hyderābād,1800000,PhD,9.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Beinex,Trainee in Data Science,3.9,Cochin,480000,Diploma,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Sanfoundry,Junior Software Engineer - Data Science - Fresher,4.1,Hyderābād,360000,Diploma,1.0,"Software Architecture, Python, Java, Testing Frameworks, Git, Docker, CI/CD",Software Engineer
Oracle,Data Scientist,3.8,Bengaluru,480000,Bachelors,1.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
PhonePe,Data Scientist,4.1,Bengaluru,480000,Bachelors,1.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Hyqoo,Data Annotator,4.5,Remote,360000,Diploma,1.0,"Data Annotation, Data Validation, Review, Text Classification, Image Segmentation, Documentation",Data Annotator
BigShyft,Data Scientist,3.9,Bengaluru,1080000,Masters,5.0,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
Sanfoundry,Junior Data Scientist,4.1,Hyderābād,600000,Diploma,5.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
News Corp,Data Analyst,3.6,Bengaluru,1080000,Masters,5.0,"Excel, SQL, Data Visualization, Python, Statistical Analysis, Time Series Analysis",Data Analyst
Infosys,Data Scientist,3.8,Bengaluru,660000,Bachelors,2.5,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
Microsoft,Data Annotation Specialist,4.2,Hyderābād,480000,Bachelors,1.0,"Python, SQL, Project Management, Technical Writing, Agile, Scrum",Other
Nissan,Data Engineer I,3.9,Thiruvananthapuram,840000,Bachelors,5.0,"Java, SQL, Big Data, Cloud Computing, Data Modeling, Apache Hive",Data Engineer
SatSure Analytics India,Data Scientist Intern,4.1,Bengaluru,660000,Bachelors,2.5,"R, Data Wrangling, Machine Learning, Statistics, SQL, Feature Engineering",Data Scientist
MathCo,Associate - Data Science,3.5,Bengaluru,480000,Bachelors,1.0,"Python, R, Machine Learning, Data Wrangling, Deep Learning, NLP",Data Scientist
Amex,Analyst - Data Analytics,4.2,Gurgaon,660000,Bachelors,2.5,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Uptricks Services Pvt. Ltd.,Data Science Internship,4.3,Remote,1800000,PhD,9.0,"Python, SQL, TensorFlow, Data Analysis, Data Engineering, Feature Engineering",Data Scientist
JPMorgan Chase & Co,Data Analyst,4.0,India,840000,Bachelors,5.0,"Excel, SQL, Data Visualization, Python, Machine Learning, Database Management",Data Analyst
Alcon,Data Analyst - Digital Health,3.8,Bengaluru,840000,Bachelors,5.0,"SQL, Python, Power BI, Tableau, Data Wrangling, Time Series Analysis",Data Analyst
Philips,Data Scientist - Image Processing,4.0,Bengaluru,1800000,PhD,9.0,"Python, Deep Learning, Computer Vision, Data Science, NLP",Data Scientist
