course title,course url,course description,Ratings,duration,course level,Course Type,processed_title,processed_description
Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,25 total hours,All Levels,Paid,python data scienc machin learn bootcamp,learn use numpi panda seaborn matplotlib plotli scikit learn machin learn tensorflow
The Data Science Course 2022: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.6,32 total hours,All Levels,Paid,data scienc cours 2022 complet data scienc bootcamp,complet data scienc train mathemat statist python advanc statist python machin deep learn
Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",4.6,5 total hours,All Levels,Paid,statist data scienc busi analysi,statist need offic descript inferenti statist hypothesi test regress analysi
"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",4.5,15.5 total hours,Beginner,Paid,machin learn data scienc deep learn python,complet hand machin learn tutori data scienc tensorflow artifici intellig neural network
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",4.5,10.5 total hours,Intermediate,Paid,spark python big data pyspark,learn use spark python includ spark stream machin learn spark 2 0 datafram
Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,4.7,22 total hours,All Levels,Paid,data analysi panda python,analyz data quickli easili python power panda librari dataset includ beginn welcom
Complete Guide to TensorFlow for Deep Learning with Python,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,4.4,14 total hours,Intermediate,Paid,complet guid tensorflow deep learn python,learn use googl deep learn framework tensorflow python solv problem cut edg techniqu
Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",4.6,9 total hours,All Levels,Paid,apach spark scala hand big data,apach spark tutori 20 hand exampl analyz larg data set desktop hadoop scala
Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Learn how to use the R programming language for data science and machine learning and data visualization!,4.8,18 total hours,All Levels,Paid,data scienc machin learn bootcamp r,learn use r program languag data scienc machin learn data visual
Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,PySpark tutorial with 20+  hands-on examples of analyzing large data sets on your desktop or on Hadoop with Python!,4.5,7 total hours,All Levels,Paid,tame big data apach spark python hand,pyspark tutori 20 hand exampl analyz larg data set desktop hadoop python
Complete Machine Learning & Data Science Bootcamp 2022,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,44 total hours,All Levels,Paid,complet machin learn data scienc bootcamp 2022,learn data scienc data analysi machin learn artifici intellig python tensorflow panda
Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",4.5,5.5 total hours,Beginner,Paid,introduct machin learn data scienc,primer machin learn data scienc reveal everyday peopl backyard data scientist
NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing",4.6,11.5 total hours,Intermediate,Paid,nlp natur languag process python,learn use machin learn spaci nltk scikit learn deep learn conduct natur languag process
Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.",4.6,12 total hours,All Levels,Paid,data scienc natur languag process nlp python,applic decrypt cipher spam detect sentiment analysi articl spinner latent semant analysi
Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications",4.7,14.5 total hours,Intermediate,Paid,artifici intellig reinforc learn python,complet guid reinforc learn stock trade onlin advertis applic
2022 Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",4.6,44 total hours,All Levels,Paid,2022 python machin learn data scienc masterclass,learn data scienc machin learn python includ numpi panda matplotlib scikit learn
Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,"The MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow code",4.6,11 total hours,Intermediate,Paid,data scienc deep learn neural network python,depth look neural network theori machin learn pure python tensorflow code
R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",4.7,6 total hours,Intermediate,Paid,r program advanc analyt r data scienc,take r r studio skill next level data analyt data scienc statist analysi busi ggplot2
